File,Run,Module,numGivenUp
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[0].wlan[0].mac,1
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[0].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[0].wlan[2].mac,141
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[1].wlan[0].mac,27
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[1].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[1].wlan[2].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[2].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[2].wlan[1].mac,110
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[2].wlan[2].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[3].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[3].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[3].wlan[2].mac,202
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[4].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[4].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[4].wlan[2].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[5].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[5].wlan[1].mac,86
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[5].wlan[2].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[6].wlan[0].mac,25
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[6].wlan[1].mac,0
